,year,continent,co2,co2_per_capita,co2_global_share
72,1884,Africa,0.022000000000000002,0.005,0.0
73,1885,Africa,0.037000000000000005,0.008,0.0
74,1886,Africa,0.048,0.01,0.0
75,1887,Africa,0.048,0.01,0.0
76,1888,Africa,0.081,0.017,0.01
77,1889,Africa,0.132,0.027999999999999997,0.01
78,1890,Africa,0.297,0.062,0.02
79,1891,Africa,0.297,0.062,0.02
80,1892,Africa,0.48,0.099,0.04
81,1893,Africa,1.7990000000000002,0.366,0.13
82,1894,Africa,2.4330000000000003,0.49,0.17
83,1895,Africa,3.338,0.664,0.22
84,1896,Africa,4.258,0.838,0.28
85,1897,Africa,4.7780000000000005,0.93,0.3
86,1898,Africa,6.0489999999999995,1.1640000000000001,0.36
87,1899,Africa,5.518,1.048,0.3
88,1900,Africa,2.33,0.436,0.12
89,1901,Africa,3.909,0.721,0.19
90,1902,Africa,5.8260000000000005,1.057,0.28
91,1903,Africa,7.896,1.169,0.35
92,1904,Africa,8.911,1.296,0.39
93,1905,Africa,10.263,1.4669999999999999,0.42
94,1906,Africa,11.717,1.646,0.46
95,1907,Africa,12.93,1.785,0.45
96,1908,Africa,13.402999999999999,1.819,0.48
97,1909,Africa,15.385,2.052,0.53
98,1910,Africa,17.410999999999998,2.283,0.58
99,1911,Africa,16.865,0.892,0.55
100,1912,Africa,17.954,0.937,0.56
101,1913,Africa,19.605999999999998,1.01,0.56
102,1914,Africa,19.551,0.9940000000000001,0.62
103,1915,Africa,19.605999999999998,0.466,0.63
104,1916,Africa,23.255,0.461,0.69
105,1917,Africa,25.344,0.49700000000000005,0.72
106,1918,Africa,24.725,0.48,0.71
107,1919,Africa,25.443,0.511,0.84
108,1920,Africa,28.052,0.461,0.8
109,1921,Africa,27.986,0.45399999999999996,0.91
110,1922,Africa,23.97,0.39899999999999997,0.74
111,1923,Africa,29.045,0.47700000000000004,0.79
112,1924,Africa,30.631,0.496,0.83
113,1925,Africa,32.185,0.513,0.87
114,1926,Africa,34.438,0.541,0.94
115,1927,Africa,33.841,0.49200000000000005,0.85
116,1928,Africa,34.77,0.457,0.88
117,1929,Africa,35.802,0.46399999999999997,0.84
118,1930,Africa,33.696,0.43,0.86
119,1931,Africa,29.464000000000002,0.37,0.84
120,1932,Africa,26.623,0.32899999999999996,0.84
121,1933,Africa,28.491,0.324,0.86
122,1934,Africa,32.539,0.364,0.9
123,1935,Africa,35.91,0.396,0.95
124,1936,Africa,39.016,0.439,0.94
125,1937,Africa,41.843999999999994,0.46399999999999997,0.94
126,1938,Africa,44.013000000000005,0.48,1.05
127,1939,Africa,46.853,0.499,1.06
128,1940,Africa,49.648999999999994,0.52,1.02
129,1941,Africa,54.023,0.47,1.09
130,1942,Africa,58.823,0.504,1.19
131,1943,Africa,60.12,0.507,1.2
132,1944,Africa,66.633,0.649,1.31
133,1945,Africa,67.527,0.628,1.59
134,1946,Africa,68.15899999999999,0.644,1.47
135,1947,Africa,67.935,0.609,1.32
136,1948,Africa,71.733,0.545,1.33
137,1949,Africa,77.324,0.5770000000000001,1.47
138,1950,Africa,93.45200000000001,0.474,1.56
139,1951,Africa,99.86200000000001,0.496,1.57
140,1952,Africa,108.882,0.529,1.68
141,1953,Africa,110.796,0.527,1.67
142,1954,Africa,116.15700000000001,0.541,1.71
143,1955,Africa,128.058,0.583,1.72
144,1956,Africa,133.509,0.594,1.68
145,1957,Africa,139.953,0.608,1.71
146,1958,Africa,148.305,0.58,1.76
147,1959,Africa,147.911,0.54,1.67
148,1960,Africa,156.64,0.5589999999999999,1.67
149,1961,Africa,162.079,0.565,1.72
150,1962,Africa,166.426,0.5670000000000001,1.71
151,1963,Africa,176.44799999999998,0.586,1.72
152,1964,Africa,193.764,0.627,1.79
153,1965,Africa,213.785,0.675,1.89
154,1966,Africa,221.262,0.6809999999999999,1.86
155,1967,Africa,237.25799999999998,0.7120000000000001,1.94
156,1968,Africa,257.6,0.754,2.0
157,1969,Africa,278.139,0.794,2.02
158,1970,Africa,302.943,0.843,2.03
159,1971,Africa,332.20599999999996,0.9,2.14
160,1972,Africa,352.24199999999996,0.9279999999999999,2.17
161,1973,Africa,378.42699999999996,0.972,2.22
162,1974,Africa,388.87300000000005,0.972,2.29
163,1975,Africa,387.839,0.9440000000000001,2.28
164,1976,Africa,420.86800000000005,0.997,2.34
165,1977,Africa,433.85699999999997,1.0,2.35
166,1978,Africa,463.282,1.038,2.43
167,1979,Africa,500.009,1.089,2.55
168,1980,Africa,536.51,1.137,2.75
169,1981,Africa,549.389,1.1320000000000001,2.89
170,1982,Africa,572.6030000000001,1.146,3.03
171,1983,Africa,595.441,1.159,3.13
172,1984,Africa,650.285,1.23,3.31
173,1985,Africa,666.684,1.226,3.28
174,1986,Africa,690.7,1.235,3.35
175,1987,Africa,690.794,1.2009999999999998,3.25
176,1988,Africa,726.048,1.228,3.29
177,1989,Africa,699.221,1.15,3.12
178,1990,Africa,659.295,1.052,2.9
179,1991,Africa,689.0260000000001,1.068,2.97
180,1992,Africa,668.677,1.01,2.96
181,1993,Africa,708.8580000000001,1.043,3.11
182,1994,Africa,719.623,1.0290000000000001,3.13
183,1995,Africa,771.9939999999999,1.077,3.29
184,1996,Africa,783.2539999999999,1.0659999999999998,3.24
185,1997,Africa,812.903,1.079,3.35
186,1998,Africa,838.0219999999999,1.085,3.46
187,1999,Africa,830.3969999999999,1.05,3.39
188,2000,Africa,886.562,1.094,3.51
189,2001,Africa,884.168,1.064,3.47
190,2002,Africa,892.575,1.0490000000000002,3.43
191,2003,Africa,967.22,1.109,3.53
192,2004,Africa,1036.6860000000001,1.16,3.62
193,2005,Africa,1057.3419999999999,1.155,3.57
194,2006,Africa,1090.195,1.161,3.56
195,2007,Africa,1132.2930000000001,1.176,3.6
196,2008,Africa,1181.391,1.197,3.68
197,2009,Africa,1191.035,1.176,3.77
198,2010,Africa,1218.0230000000001,1.172,3.65
199,2011,Africa,1258.7089999999998,1.181,3.65
200,2012,Africa,1253.144,1.146,3.58
201,2013,Africa,1260.316,1.123,3.57
202,2014,Africa,1363.5,1.1840000000000002,3.84
203,2015,Africa,1322.735,1.119,3.73
204,2016,Africa,1356.719,1.119,3.83
205,2017,Africa,1384.372,1.113,3.85
206,2018,Africa,1385.645,1.0859999999999999,3.78
207,2019,Africa,1408.479,1.077,3.84
208,2020,Africa,1326.0439999999999,0.99,3.81
1053,1830,Asia,0.002,0.0,0.0
1054,1831,Asia,0.003,0.0,0.0
1055,1832,Asia,0.002,0.0,0.0
1056,1833,Asia,0.002,0.0,0.0
1057,1834,Asia,,,
1058,1835,Asia,,,
1059,1836,Asia,,,
1060,1837,Asia,,,
1061,1838,Asia,,,
1062,1839,Asia,,,
1063,1840,Asia,,,
1064,1841,Asia,,,
1065,1842,Asia,,,
1066,1843,Asia,,,
1067,1844,Asia,,,
1068,1845,Asia,,,
1069,1846,Asia,,,
1070,1847,Asia,,,
1071,1848,Asia,,,
1072,1849,Asia,,,
1073,1850,Asia,0.015,0.002,0.01
1074,1851,Asia,,,
1075,1852,Asia,,,
1076,1853,Asia,,,
1077,1854,Asia,,,
1078,1855,Asia,0.045,0.004,0.02
1079,1856,Asia,,,
1080,1857,Asia,,,
1081,1858,Asia,0.45799999999999996,0.002,0.16
1082,1859,Asia,0.7040000000000001,0.003,0.23
1083,1860,Asia,0.733,0.003,0.22
1084,1861,Asia,0.611,0.002,0.18
1085,1862,Asia,0.653,0.002,0.18
1086,1863,Asia,0.7170000000000001,0.003,0.19
1087,1864,Asia,0.6970000000000001,0.003,0.17
1088,1865,Asia,0.8320000000000001,0.003,0.19
1089,1866,Asia,1.21,0.004,0.27
1090,1867,Asia,0.6409999999999999,0.027000000000000003,0.13
1091,1868,Asia,0.531,0.009000000000000001,0.11
1092,1869,Asia,0.752,0.013000000000000001,0.14
1093,1870,Asia,0.682,0.012,0.13
1094,1871,Asia,0.907,0.016,0.16
1095,1872,Asia,0.98,0.017,0.16
1096,1873,Asia,0.937,0.016,0.14
1097,1874,Asia,1.642,0.027000000000000003,0.26
1098,1875,Asia,2.7119999999999997,0.045,0.4
1099,1876,Asia,2.821,0.046,0.41
1100,1877,Asia,2.903,0.048,0.42
1101,1878,Asia,5.477,0.017,0.78
1102,1879,Asia,5.691,0.018000000000000002,0.75
1103,1880,Asia,6.211,0.019,0.73
1104,1881,Asia,6.372000000000001,0.02,0.72
1105,1882,Asia,6.901,0.021,0.74
1106,1883,Asia,7.632999999999999,0.023,0.77
1107,1884,Asia,8.218,0.025,0.82
1108,1885,Asia,8.567,0.025,0.85
1109,1886,Asia,9.144,0.027000000000000003,0.89
1110,1887,Asia,10.569,0.031,0.98
1111,1888,Asia,11.751,0.034,0.99
1112,1889,Asia,13.819,0.036000000000000004,1.16
1113,1890,Asia,15.128,0.039,1.17
1114,1891,Asia,17.249000000000002,0.044000000000000004,1.27
1115,1892,Asia,18.324,0.046,1.34
1116,1893,Asia,20.47,0.051,1.51
1117,1894,Asia,22.807,0.055999999999999994,1.63
1118,1895,Asia,26.372,0.065,1.78
1119,1896,Asia,28.1,0.068,1.83
1120,1897,Asia,30.566999999999997,0.07400000000000001,1.9
1121,1898,Asia,36.579,0.08800000000000001,2.16
1122,1899,Asia,38.846,0.048,2.1
1123,1900,Asia,44.119,0.105,2.26
1124,1901,Asia,50.483999999999995,0.11900000000000001,2.5
1125,1902,Asia,52.62,0.063,2.54
1126,1903,Asia,57.141999999999996,0.068,2.53
1127,1904,Asia,64.125,0.076,2.81
1128,1905,Asia,65.418,0.076,2.69
1129,1906,Asia,87.527,0.10099999999999999,3.43
1130,1907,Asia,94.294,0.10800000000000001,3.27
1131,1908,Asia,106.137,0.121,3.82
1132,1909,Asia,105.95100000000001,0.11800000000000001,3.67
1133,1910,Asia,104.67399999999999,0.115,3.46
1134,1911,Asia,121.139,0.131,3.93
1135,1912,Asia,112.71700000000001,0.121,3.49
1136,1913,Asia,124.071,0.132,3.55
1137,1914,Asia,131.44799999999998,0.139,4.15
1138,1915,Asia,127.50200000000001,0.134,4.08
1139,1916,Asia,137.918,0.14400000000000002,4.09
1140,1917,Asia,149.998,0.158,4.25
1141,1918,Asia,153.275,0.158,4.41
1142,1919,Asia,169.919,0.174,5.64
1143,1920,Asia,162.006,0.16399999999999998,4.62
1144,1921,Asia,158.417,0.159,5.15
1145,1922,Asia,168.043,0.168,5.21
1146,1923,Asia,184.954,0.184,5.05
1147,1924,Asia,199.653,0.19699999999999998,5.44
1148,1925,Asia,202.835,0.198,5.46
1149,1926,Asia,204.90099999999998,0.19899999999999998,5.62
1150,1927,Asia,224.699,0.21600000000000003,5.64
1151,1928,Asia,235.12099999999998,0.221,5.93
1152,1929,Asia,246.09400000000002,0.23,5.78
1153,1930,Asia,246.558,0.228,6.28
1154,1931,Asia,237.33700000000002,0.214,6.77
1155,1932,Asia,237.433,0.212,7.52
1156,1933,Asia,261.529,0.231,7.86
1157,1934,Asia,296.938,0.26,8.21
1158,1935,Asia,322.726,0.27899999999999997,8.5
1159,1936,Asia,354.20099999999996,0.303,8.49
1160,1937,Asia,375.6,0.318,8.42
1161,1938,Asia,389.285,0.325,9.28
1162,1939,Asia,412.158,0.341,9.29
1163,1940,Asia,467.791,0.384,9.65
1164,1941,Asia,472.586,0.385,9.53
1165,1942,Asia,433.908,0.36200000000000004,8.78
1166,1943,Asia,428.67900000000003,0.35100000000000003,8.53
1167,1944,Asia,435.865,0.35600000000000004,8.54
1168,1945,Asia,323.129,0.263,7.61
1169,1946,Asia,311.41,0.239,6.72
1170,1947,Asia,372.869,0.28,7.27
1171,1948,Asia,370.219,0.278,6.85
1172,1949,Asia,456.736,0.337,8.71
1173,1950,Asia,476.12199999999996,0.341,7.93
1174,1951,Asia,456.06699999999995,0.32,7.15
1175,1952,Asia,505.795,0.348,7.82
1176,1953,Asia,541.4119999999999,0.365,8.14
1177,1954,Asia,593.298,0.39299999999999996,8.74
1178,1955,Asia,676.212,0.43700000000000006,9.08
1179,1956,Asia,750.837,0.47700000000000004,9.48
1180,1957,Asia,845.2330000000001,0.526,10.33
1181,1958,Asia,1139.733,0.696,13.54
1182,1959,Asia,1375.5220000000002,0.8240000000000001,15.53
1183,1960,Asia,1540.394,0.905,16.41
1184,1961,Asia,1395.308,0.804,14.82
1185,1962,Asia,1344.4460000000001,0.759,13.79
1186,1963,Asia,1425.118,0.7879999999999999,13.87
1187,1964,Asia,1509.495,0.816,13.94
1188,1965,Asia,1652.0639999999999,0.873,14.6
1189,1966,Asia,1799.358,0.9279999999999999,15.16
1190,1967,Asia,1827.4489999999998,0.92,14.93
1191,1968,Asia,2018.3870000000002,0.991,15.63
1192,1969,Asia,2291.94,1.0979999999999999,16.65
1193,1970,Asia,2699.301,1.261,18.12
1194,1971,Asia,2953.833,1.348,19.06
1195,1972,Asia,3124.01,1.392,19.26
1196,1973,Asia,3355.5190000000002,1.4609999999999999,19.65
1197,1974,Asia,3415.347,1.455,20.08
1198,1975,Asia,3581.0029999999997,1.493,21.01
1199,1976,Asia,3806.119,1.554,21.16
1200,1977,Asia,4050.961,1.6219999999999999,21.9
1201,1978,Asia,4232.254,1.662,22.2
1202,1979,Asia,4405.94,1.6969999999999998,22.47
1203,1980,Asia,4400.905,1.663,22.58
1204,1981,Asia,4374.459,1.621,22.99
1205,1982,Asia,4524.213,1.645,23.97
1206,1983,Asia,4706.387,1.6780000000000002,24.77
1207,1984,Asia,4980.670999999999,1.7409999999999999,25.34
1208,1985,Asia,5272.291,1.807,25.95
1209,1986,Asia,5498.753000000001,1.8459999999999999,26.67
1210,1987,Asia,5735.494000000001,1.8869999999999998,26.97
1211,1988,Asia,6205.031,2.0,28.08
1212,1989,Asia,6421.483,2.03,28.66
1213,1990,Asia,6625.838000000001,2.055,29.13
1214,1991,Asia,6956.347,2.12,29.94
1215,1992,Asia,7269.585,2.1790000000000003,32.21
1216,1993,Asia,7600.515,2.2430000000000003,33.33
1217,1994,Asia,7931.294,2.305,34.54
1218,1995,Asia,8251.609,2.363,35.18
1219,1996,Asia,8579.1,2.4219999999999997,35.52
1220,1997,Asia,8691.038,2.419,35.76
1221,1998,Asia,8421.433,2.312,34.79
1222,1999,Asia,8678.317,2.351,35.39
1223,2000,Asia,9091.055,2.431,36.03
1224,2001,Asia,9259.171999999999,2.445,36.38
1225,2002,Asia,9779.534,2.55,37.56
1226,2003,Asia,10716.11,2.76,39.16
1227,2004,Asia,11681.501,2.972,40.81
1228,2005,Asia,12522.219,3.1489999999999996,42.3
1229,2006,Asia,13363.127,3.321,43.69
1230,2007,Asia,14080.908000000001,3.46,44.71
1231,2008,Asia,14811.211000000001,3.5980000000000003,46.18
1232,2009,Asia,15412.298999999999,3.7030000000000003,48.76
1233,2010,Asia,16530.951,3.928,49.58
1234,2011,Asia,17746.631999999998,4.172,51.49
1235,2012,Asia,18456.3,4.293,52.77
1236,2013,Asia,18714.335,4.308,53.04
1237,2014,Asia,19018.802,4.334,53.52
1238,2015,Asia,19135.91,4.317,53.91
1239,2016,Asia,19218.166,4.294,54.21
1240,2017,Asia,19653.513,4.35,54.71
1241,2018,Asia,20254.37,4.442,55.27
1242,2019,Asia,20608.593,4.48,56.15
1243,2020,Asia,20317.058,4.379,58.37
7502,1750,Europe,9.351,1.0070000000000001,100.0
7503,1751,Europe,9.351,,100.0
7504,1752,Europe,9.354,,100.0
7505,1753,Europe,9.354,,100.0
7506,1754,Europe,9.357999999999999,,100.0
7507,1755,Europe,9.362,,100.0
7508,1756,Europe,10.006,,100.0
7509,1757,Europe,10.01,,100.0
7510,1758,Europe,10.014,,100.0
7511,1759,Europe,10.017000000000001,,100.0
7512,1760,Europe,10.017000000000001,1.02,100.0
7513,1761,Europe,10.974,,100.0
7514,1762,Europe,10.977,,100.0
7515,1763,Europe,10.981,,100.0
7516,1764,Europe,10.985,,100.0
7517,1765,Europe,10.988,,100.0
7518,1766,Europe,12.26,,100.0
7519,1767,Europe,12.263,,100.0
7520,1768,Europe,12.267000000000001,,100.0
7521,1769,Europe,12.270999999999999,,100.0
7522,1770,Europe,12.274000000000001,1.1840000000000002,100.0
7523,1771,Europe,13.612,,100.0
7524,1772,Europe,13.615,,100.0
7525,1773,Europe,13.619000000000002,,100.0
7526,1774,Europe,13.623,,100.0
7527,1775,Europe,13.626,,100.0
7528,1776,Europe,15.037,,100.0
7529,1777,Europe,15.040999999999999,,100.0
7530,1778,Europe,15.044,,100.0
7531,1779,Europe,15.048,,100.0
7532,1780,Europe,15.055,1.3769999999999998,100.0
7533,1781,Europe,16.843,,100.0
7534,1782,Europe,16.847,,100.0
7535,1783,Europe,16.854,,100.0
7536,1784,Europe,16.858,,100.0
7537,1785,Europe,16.865,,99.98
7538,1786,Europe,19.148,,99.98
7539,1787,Europe,19.155,,99.98
7540,1788,Europe,19.159000000000002,,99.98
7541,1789,Europe,19.166,,99.98
7542,1790,Europe,19.174,1.665,99.98
7543,1791,Europe,21.416,,99.98
7544,1792,Europe,21.892,,99.98
7545,1793,Europe,21.910999999999998,,99.98
7546,1794,Europe,21.878,,99.98
7547,1795,Europe,21.889,,99.98
7548,1796,Europe,22.948,,99.98
7549,1797,Europe,24.090999999999998,,99.98
7550,1798,Europe,25.090999999999998,,99.99
7551,1799,Europe,26.425,,99.99
7552,1800,Europe,27.835,0.737,99.09
7553,1801,Europe,27.689,0.7240000000000001,99.03
7554,1802,Europe,36.49,0.512,99.2
7555,1803,Europe,31.188000000000002,0.7959999999999999,99.05
7556,1804,Europe,33.973,0.491,99.02
7557,1805,Europe,33.075,0.823,98.97
7558,1806,Europe,34.709,0.852,99.04
7559,1807,Europe,36.493,0.823,98.97
7560,1808,Europe,34.669000000000004,0.83,98.87
7561,1809,Europe,34.683,0.82,98.84
7562,1810,Europe,36.959,0.504,98.87
7563,1811,Europe,39.132,0.526,98.86
7564,1812,Europe,40.52,0.537,98.81
7565,1813,Europe,40.696,0.53,98.73
7566,1814,Europe,41.56399999999999,0.531,98.66
7567,1815,Europe,42.883,0.5379999999999999,98.61
7568,1816,Europe,46.998000000000005,0.579,98.6
7569,1817,Europe,48.708999999999996,0.588,98.54
7570,1818,Europe,48.858999999999995,0.579,98.42
7571,1819,Europe,49.181999999999995,0.551,98.47
7572,1820,Europe,49.893,0.55,98.43
7573,1821,Europe,50.604,0.551,98.38
7574,1822,Europe,52.597,0.5660000000000001,98.38
7575,1823,Europe,55.645,0.593,98.4
7576,1824,Europe,57.506,0.607,98.26
7577,1825,Europe,59.617,0.624,98.12
7578,1826,Europe,60.101000000000006,0.623,97.85
7579,1827,Europe,64.464,0.662,97.8
7580,1828,Europe,65.04,0.6609999999999999,97.6
7581,1829,Europe,64.596,0.644,97.29
7582,1830,Europe,87.029,0.499,97.65
7583,1831,Europe,82.258,0.467,97.31
7584,1832,Europe,82.083,0.465,96.44
7585,1833,Europe,83.273,0.46799999999999997,95.93
7586,1834,Europe,85.1,0.6629999999999999,96.17
7587,1835,Europe,86.126,0.675,95.22
7588,1836,Europe,100.042,0.778,95.48
7589,1837,Europe,99.382,0.767,94.93
7590,1838,Europe,103.01,0.789,95.34
7591,1839,Europe,106.09100000000001,0.7879999999999999,95.05
7592,1840,Europe,113.053,0.8340000000000001,95.06
7593,1841,Europe,116.402,0.853,94.93
7594,1842,Europe,122.583,0.893,94.66
7595,1843,Europe,125.085,0.897,94.15
7596,1844,Europe,132.113,0.9420000000000001,93.42
7597,1845,Europe,144.003,1.021,92.78
7598,1846,Europe,145.058,1.002,91.93
7599,1847,Europe,157.299,1.08,91.24
7600,1848,Europe,156.991,1.11,90.32
7601,1849,Europe,165.243,1.162,90.04
7602,1850,Europe,177.03,0.8320000000000001,89.91
7603,1851,Europe,174.102,1.168,87.57
7604,1852,Europe,180.676,1.204,87.05
7605,1853,Europe,186.945,1.238,86.07
7606,1854,Europe,221.855,1.4609999999999999,86.95
7607,1855,Europe,221.81,1.015,85.26
7608,1856,Europe,237.075,1.5419999999999998,85.5
7609,1857,Europe,238.618,1.5419999999999998,85.25
7610,1858,Europe,241.801,1.032,85.09
7611,1859,Europe,254.97299999999998,1.081,84.62
7612,1860,Europe,281.812,1.024,85.23
7613,1861,Europe,300.478,1.084,86.41
7614,1862,Europe,305.04,1.092,86.16
7615,1863,Europe,321.23,1.1420000000000001,85.01
7616,1864,Europe,346.62699999999995,1.2229999999999999,85.15
7617,1865,Europe,371.214,1.3,85.87
7618,1866,Europe,383.59,1.334,86.01
7619,1867,Europe,401.82099999999997,1.37,84.1
7620,1868,Europe,406.19199999999995,1.374,82.77
7621,1869,Europe,425.356,1.4280000000000002,81.62
7622,1870,Europe,431.41,1.4169999999999998,81.01
7623,1871,Europe,459.74199999999996,1.499,81.21
7624,1872,Europe,496.532,1.6059999999999999,79.27
7625,1873,Europe,522.498,1.6769999999999998,78.52
7626,1874,Europe,484.545,1.5430000000000001,77.78
7627,1875,Europe,534.636,1.6880000000000002,79.11
7628,1876,Europe,547.124,1.735,79.81
7629,1877,Europe,545.931,1.7180000000000002,78.09
7630,1878,Europe,551.744,1.722,78.33
7631,1879,Europe,569.566,1.742,75.45
7632,1880,Europe,640.7180000000001,1.9380000000000002,75.05
7633,1881,Europe,657.7489999999999,1.956,74.54
7634,1882,Europe,680.173,2.0380000000000003,72.99
7635,1883,Europe,718.737,2.11,72.52
7636,1884,Europe,714.1139999999999,2.106,71.26
7637,1885,Europe,716.627,2.051,70.98
7638,1886,Europe,715.953,2.0780000000000003,69.82
7639,1887,Europe,743.2510000000001,2.14,69.03
7640,1888,Europe,787.4689999999999,2.221,66.05
7641,1889,Europe,824.518,2.336,69.18
7642,1890,Europe,862.528,2.371,66.43
7643,1891,Europe,892.962,2.435,65.71
7644,1892,Europe,879.268,2.3480000000000003,64.18
